what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.8.0.v20120530-1753,"org.eclipse.debug.ui",1348580174124
started,bundle,org.eclipse.jdt.junit.core,3.7.100.v20120523-1257,"org.eclipse.jdt.junit.core",1348580174246
started,bundle,org.eclipse.jdt.debug,3.7.100.v20120529-1702,"org.eclipse.jdt.debug",1348580174429
started,bundle,org.eclipse.jdt.debug.ui,3.6.100.v20120530-1425,"org.eclipse.jdt.debug.ui",1348580174490
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1348580174744
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1348580174980
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1348580175988
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1348580180783
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.lineEnd",1348580230163
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1348580234806
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1348580234941
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.undo",1348580239379
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordPrevious",1348580241215
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1348580244224
activated,view,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.PackageExplorer",1348580379964
started,bundle,org.eclipse.wst.xml.ui,1.1.300.v201205022014,"org.eclipse.wst.xml.ui",1348580396235
started,bundle,org.eclipse.wst.validation,1.2.400.v201204260100,"org.eclipse.wst.validation",1348580397048
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1348580397071
