what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427647556
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427647691
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1351427650870
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427652683
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427687705
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.cut",1351427693324
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427696979
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427697876
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1351427700060
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.paste",1351427702200
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1351427705991
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427707477
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427709341
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.cut",1351427743953
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.paste",1351427750539
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1351427755594
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.lineStart",1351427785265
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1351427789196
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1351427793907
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427798209
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427857867
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.paste",1351427860771
executed,command,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.edit.text.java.format",1351427862480
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427865365
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427865623
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427870209
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427870328
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427872888
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351427873015
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1351427875532
