what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1351429547797
error,log,,,"Program Error: invalid structured document event",1351429553920
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429553921
error,log,,,"Overlapping start in StyleRange 315:1",1351429555190
error,log,,,"Program Error: invalid structured document event",1351429555191
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429555192
error,log,,,"Overlapping start in StyleRange 315:1",1351429555744
error,log,,,"Overlapping start in StyleRange 315:2",1351429556732
error,log,,,"Program Error: invalid structured document event",1351429556733
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429556734
error,log,,,"Overlapping start in StyleRange 315:2",1351429557319
error,log,,,"Overlapping start in StyleRange 317:1",1351429557320
error,log,,,"Program Error: invalid structured document event",1351429557321
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429557322
error,log,,,"Overlapping start in StyleRange 315:2",1351429557873
error,log,,,"Overlapping start in StyleRange 317:1",1351429557874
error,log,,,"Overlapping start in StyleRange 315:2",1351429558303
error,log,,,"Overlapping start in StyleRange 317:2",1351429558304
error,log,,,"Program Error: invalid structured document event",1351429558305
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429558306
error,log,,,"Overlapping start in StyleRange 315:2",1351429558621
error,log,,,"Overlapping start in StyleRange 317:3",1351429558621
error,log,,,"Program Error: invalid structured document event",1351429558622
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429558623
error,log,,,"Unhandled event loop exception",1351429558645
error,log,,,"Overlapping start in StyleRange 315:2",1351429558816
error,log,,,"Overlapping start in StyleRange 317:4",1351429558817
error,log,,,"Program Error: invalid structured document event",1351429558818
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429558820
error,log,,,"Unhandled event loop exception",1351429558846
error,log,,,"Overlapping start in StyleRange 316:1",1351429558969
error,log,,,"Overlapping start in StyleRange 317:5",1351429558969
error,log,,,"Program Error: invalid structured document event",1351429558970
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429558971
error,log,,,"Unhandled event loop exception",1351429559000
error,log,,,"Overlapping start in StyleRange 315:2",1351429559193
error,log,,,"Overlapping start in StyleRange 317:5",1351429559193
error,log,,,"Overlapping start in StyleRange 317:5",1351429560060
error,log,,,"Program Error: invalid structured document event",1351429560061
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429560063
error,log,,,"Unhandled event loop exception",1351429560088
error,log,,,"Overlapping start in StyleRange 315:2",1351429572943
error,log,,,"Overlapping start in StyleRange 317:5",1351429572944
error,log,,,"Program Error: invalid structured document event",1351429572945
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429572947
error,log,,,"Overlapping start in StyleRange 315:2",1351429573527
error,log,,,"Overlapping start in StyleRange 317:5",1351429573527
error,log,,,"Overlapping start in StyleRange 315:2",1351429574053
error,log,,,"Overlapping start in StyleRange 317:5",1351429574054
error,log,,,"Program Error: invalid structured document event",1351429574055
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429574056
error,log,,,"Overlapping start in StyleRange 315:2",1351429576298
error,log,,,"Overlapping start in StyleRange 317:6",1351429576299
error,log,,,"Program Error: invalid structured document event",1351429576300
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429576301
error,log,,,"Overlapping start in StyleRange 315:2",1351429576850
error,log,,,"Overlapping start in StyleRange 317:6",1351429576851
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351429578759
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351429583226
error,log,,,"Overlapping start in StyleRange 315:2",1351429583266
error,log,,,"Overlapping start in StyleRange 317:6",1351429583267
error,log,,,"Program Error: invalid structured document event",1351429583271
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1351429583273
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1351429586537
error,log,,,"Overlapping start in StyleRange 315:2",1351429586563
error,log,,,"Overlapping start in StyleRange 317:6",1351429586564
error,log,,,"Overlapping start in StyleRange 315:2",1351429586698
error,log,,,"Overlapping start in StyleRange 317:6",1351429586699
error,log,,,"Overlapping start in StyleRange 315:2",1351429587088
error,log,,,"Overlapping start in StyleRange 317:7",1351429587089
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1351429590050
