what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.lineEnd",1351430862499
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351430868168
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351430881276
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.undo",1351430883982
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.delete",1351430890027
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.paste",1351430890651
executed,command,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.edit.text.java.format",1351430892522
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351430899110
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351430899172
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351430903916
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351430904034
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1351430907711
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1351430957226
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1351430957520
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351430997111
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351431181718
activated,view,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.PackageExplorer",1351431194105
started,bundle,org.eclipse.mylyn.context.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.context.ui",1351431194220
