what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.0.v20120612-0600,"org.eclipse.mylyn.commons.notifications.core",1351636641743
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.0.v20120612-0600,"org.eclipse.mylyn.commons.notifications.feed",1351636641744
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.0.v20120612-0600,"org.eclipse.mylyn.commons.notifications.ui",1351636641745
started,bundle,org.eclipse.mylyn.commons.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.commons.ui",1351636641746
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.0.v20120612-0600,"org.eclipse.mylyn.commons.workbench",1351636641746
started,bundle,org.eclipse.mylyn.context.core,3.8.0.v20120612-0600,"org.eclipse.mylyn.context.core",1351636641747
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.context.tasks.ui",1351636641748
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.monitor.ui",1351636641748
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.0.v20120612-0600,"org.eclipse.mylyn.tasks.index.core",1351636641749
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.tasks.ui",1351636641771
started,bundle,org.eclipse.mylyn.team.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.team.ui",1351636641772
started,bundle,org.eclipse.wb.discovery.core,1.5.0.r42x201206111213,"org.eclipse.wb.discovery.core",1351636641772
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r42x201206111213,"org.eclipse.wb.discovery.ui",1351636641773
started,bundle,org.eclipse.wst.sse.ui,1.3.100.v201204260100,"org.eclipse.wst.sse.ui",1351636641775
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1351636641775
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1351636641775
os,sysinfo,,,"win32",1351636641779
arch,sysinfo,,,"x86_64",1351636641779
ws,sysinfo,,,"win32",1351636641779
locale,sysinfo,,,"en_US",1351636641779
processors,sysinfo,,,"4",1351636641779
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1351636641779
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1351636641779
java.specification.name,sysinfo,,,"Java Platform API Specification",1351636641779
java.specification.vendor,sysinfo,,,"Oracle Corporation",1351636641779
java.specification.version,sysinfo,,,"1.7",1351636641779
java.vendor,sysinfo,,,"Oracle Corporation",1351636641779
java.version,sysinfo,,,"1.7.0_02",1351636641779
java.vm.info,sysinfo,,,"mixed mode",1351636641779
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1351636641779
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351636641779
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1351636641779
java.vm.specification.version,sysinfo,,,"1.7",1351636641779
java.vm.vendor,sysinfo,,,"Oracle Corporation",1351636641779
java.vm.version,sysinfo,,,"22.0-b10",1351636641779
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1351636710139
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351636714428
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351636719229
opened,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1351636719521
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1351636719820
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351636722421
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.findReplace",1351636722505
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351636741010
started,bundle,org.eclipse.wb.core.lib,1.5.0.r42x201206111201,"org.eclipse.wb.core.lib",1351636744534
started,bundle,org.eclipse.wb.core,1.5.0.r42x201206111201,"org.eclipse.wb.core",1351636745091
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1351636745886
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1351636746654
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351636752763
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351636752830
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351636761764
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351636862564
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.lineEnd",1351636872051
started,bundle,org.eclipse.pde.api.tools,1.0.400.v20120523-2012,"org.eclipse.pde.api.tools",1351636875781
started,bundle,org.eclipse.pde.api.tools.ui,1.0.400.v20120523-2012,"org.eclipse.pde.api.tools.ui",1351636875783
started,bundle,org.eclipse.mylyn.java.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.java.ui",1351636875808
started,bundle,org.eclipse.jdt.junit,3.7.100.v20120523-1543,"org.eclipse.jdt.junit",1351636876644
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351636905023
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351636911974
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordPrevious",1351636925291
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordPrevious",1351636925634
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.lineEnd",1351636930826
started,bundle,org.eclipse.jdt.debug,3.7.100.v20120529-1702,"org.eclipse.jdt.debug",1351636944790
started,bundle,org.eclipse.debug.ui,3.8.0.v20120530-1753,"org.eclipse.debug.ui",1351636944893
started,bundle,org.eclipse.jdt.debug.ui,3.6.100.v20120530-1425,"org.eclipse.jdt.debug.ui",1351636945040
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1351636945154
started,bundle,org.eclipse.wst.sse.core,1.1.700.v201205171812,"org.eclipse.wst.sse.core",1351636945962
started,bundle,org.eclipse.wst.xml.core,1.1.700.v201204241737,"org.eclipse.wst.xml.core",1351636946018
started,bundle,org.eclipse.wst.common.uriresolver,1.2.0.v201203071939,"org.eclipse.wst.common.uriresolver",1351636946103
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1351637006457
started,bundle,org.eclipse.jdt.junit.core,3.7.100.v20120523-1257,"org.eclipse.jdt.junit.core",1351637008984
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1351637010158
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1351637011103
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351637017776
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351637020229
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351637072613
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351637085296
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1351637085404
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351637087726
activated,view,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.PackageExplorer",1351637216153
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351637216169
started,bundle,org.eclipse.mylyn.context.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.context.ui",1351637219302
started,bundle,org.eclipse.wst.xml.ui,1.1.300.v201205022014,"org.eclipse.wst.xml.ui",1351637229654
started,bundle,org.eclipse.wst.validation,1.2.400.v201204260100,"org.eclipse.wst.validation",1351637230672
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1351637230675
started,bundle,org.eclipse.wst.dtd.ui,1.0.700.v201203081826,"org.eclipse.wst.dtd.ui",1351637230771
started,bundle,org.eclipse.wst.common.frameworks,1.2.200.v201203141800,"org.eclipse.wst.common.frameworks",1351637232428
started,bundle,org.eclipse.wst.internet.cache,1.0.600.v201203071939,"org.eclipse.wst.internet.cache",1351637232721
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351637233041
started,bundle,org.eclipse.m2e.editor.xml,1.1.0.20120530-0009,"org.eclipse.m2e.editor.xml",1351637233111
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351637233289
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordNext",1351637236766
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordNext",1351637237018
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordNext",1351637237355
