what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.0.v20120612-0600,"org.eclipse.mylyn.commons.notifications.feed",1351640017945
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.0.v20120612-0600,"org.eclipse.mylyn.commons.notifications.ui",1351640017967
started,bundle,org.eclipse.mylyn.commons.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.commons.ui",1351640017994
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.0.v20120612-0600,"org.eclipse.mylyn.commons.workbench",1351640018011
started,bundle,org.eclipse.mylyn.context.core,3.8.0.v20120612-0600,"org.eclipse.mylyn.context.core",1351640018066
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.context.tasks.ui",1351640018108
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.monitor.ui",1351640018138
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.0.v20120612-0600,"org.eclipse.mylyn.tasks.index.core",1351640018177
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.tasks.ui",1351640018251
started,bundle,org.eclipse.mylyn.team.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.team.ui",1351640018281
started,bundle,org.eclipse.wb.discovery.core,1.5.0.r42x201206111213,"org.eclipse.wb.discovery.core",1351640018330
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r42x201206111213,"org.eclipse.wb.discovery.ui",1351640018351
started,bundle,org.eclipse.wst.sse.ui,1.3.100.v201204260100,"org.eclipse.wst.sse.ui",1351640018396
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1351640018396
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1351640018397
os,sysinfo,,,"win32",1351640018401
arch,sysinfo,,,"x86_64",1351640018401
ws,sysinfo,,,"win32",1351640018401
locale,sysinfo,,,"en_US",1351640018401
processors,sysinfo,,,"4",1351640018401
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1351640018401
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1351640018401
java.specification.name,sysinfo,,,"Java Platform API Specification",1351640018401
java.specification.vendor,sysinfo,,,"Oracle Corporation",1351640018401
java.specification.version,sysinfo,,,"1.7",1351640018401
java.vendor,sysinfo,,,"Oracle Corporation",1351640018401
java.version,sysinfo,,,"1.7.0_02",1351640018401
java.vm.info,sysinfo,,,"mixed mode",1351640018401
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1351640018401
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351640018401
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1351640018401
java.vm.specification.version,sysinfo,,,"1.7",1351640018401
java.vm.vendor,sysinfo,,,"Oracle Corporation",1351640018401
java.vm.version,sysinfo,,,"22.0-b10",1351640018401
started,bundle,org.eclipse.team.cvs.core,3.3.500.v20120522-1148,"org.eclipse.team.cvs.core",1351640020880
started,bundle,org.eclipse.team.cvs.ui,3.3.500.v20120522-1148,"org.eclipse.team.cvs.ui",1351640021817
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351640067525
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351640069210
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351640281290
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1351640282920
started,bundle,org.eclipse.wb.core.lib,1.5.0.r42x201206111201,"org.eclipse.wb.core.lib",1351640285913
started,bundle,org.eclipse.wb.core,1.5.0.r42x201206111201,"org.eclipse.wb.core",1351640286122
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1351640286814
started,bundle,org.eclipse.wst.sse.core,1.1.700.v201205171812,"org.eclipse.wst.sse.core",1351640287755
started,bundle,org.eclipse.wst.xml.core,1.1.700.v201204241737,"org.eclipse.wst.xml.core",1351640288015
started,bundle,org.eclipse.debug.ui,3.8.0.v20120530-1753,"org.eclipse.debug.ui",1351640288480
started,bundle,org.eclipse.wst.common.uriresolver,1.2.0.v201203071939,"org.eclipse.wst.common.uriresolver",1351640288694
started,bundle,org.eclipse.jdt.junit.core,3.7.100.v20120523-1257,"org.eclipse.jdt.junit.core",1351640289277
started,bundle,org.eclipse.jdt.debug,3.7.100.v20120529-1702,"org.eclipse.jdt.debug",1351640289805
started,bundle,org.eclipse.jdt.debug.ui,3.6.100.v20120530-1425,"org.eclipse.jdt.debug.ui",1351640290122
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1351640291809
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1351640292234
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351640298438
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351640299823
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351640346510
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351640348190
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351640350564
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351640353029
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351640411583
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1351641022714
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordNext",1351641031554
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordNext",1351641031712
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordNext",1351641031966
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.copy",1351641032818
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.paste",1351641033512
started,bundle,org.eclipse.pde.api.tools,1.0.400.v20120523-2012,"org.eclipse.pde.api.tools",1351641035060
started,bundle,org.eclipse.pde.api.tools.ui,1.0.400.v20120523-2012,"org.eclipse.pde.api.tools.ui",1351641035074
started,bundle,org.eclipse.mylyn.java.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.java.ui",1351641035130
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.undo",1351641046618
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.undo",1351641047013
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.undo",1351641047289
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.undo",1351641048253
started,bundle,org.eclipse.wst.xml.ui,1.1.300.v201205022014,"org.eclipse.wst.xml.ui",1351641050517
started,bundle,org.eclipse.wst.validation,1.2.400.v201204260100,"org.eclipse.wst.validation",1351641052291
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1351641052334
started,bundle,org.eclipse.wst.dtd.ui,1.0.700.v201203081826,"org.eclipse.wst.dtd.ui",1351641052747
started,bundle,org.eclipse.wst.common.frameworks,1.2.200.v201203141800,"org.eclipse.wst.common.frameworks",1351641054555
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351641054771
started,bundle,org.eclipse.m2e.editor.xml,1.1.0.20120530-0009,"org.eclipse.m2e.editor.xml",1351641054884
